date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2023-12-15,000300,沪深300,3365.939,3341.552,3388.505,3339.519,9778778300,,-0.3106238611154444,-0.0031110729840487057
2023-12-18,000300,沪深300,3329.191,3329.366,3352.346,3314.91,9052682600,,-0.3646808429137116,-0.003653474245902314
2023-12-19,000300,沪深300,3325.66,3334.041,3345.78,3313.187,8380811800,,0.14041712446153376,0.001403186318069118
2023-12-20,000300,沪深300,3334.332,3297.502,3338.543,3297.365,9241286800,,-1.0959373325043154,-0.011019869664240433
2023-12-21,000300,沪深300,3285.605,3330.87,3339.355,3283.988,10254619800,,1.011917506039417,0.010068319001593893
2023-12-22,000300,沪深300,3329.467,3337.228,3359.06,3315.898,10522013300,,0.19088106110416447,0.0019069911470407717
2023-12-25,000300,沪深300,3330.333,3347.451,3348.882,3330.333,7454269300,,0.30633208159587255,0.0030586384087877886
2023-12-26,000300,沪深300,3345.395,3324.79,3345.417,3315.937,7473293500,,-0.6769628592024235,-0.006792646468125194
2023-12-27,000300,沪深300,3326.927,3336.357,3341.266,3309.673,9440392800,,0.34790167198530675,0.00347297894082162
2023-12-28,000300,沪深300,3335.557,3414.54,3423.402,3331.208,14806485100,,2.3433643342124277,0.023163290936967822
2023-12-29,000300,沪深300,3411.109,3431.11,3432.541,3409.58,11492893200,,0.4852776655127844,0.004841039889780537
2024-01-02,000300,沪深300,3426.268,3386.352,3426.268,3386.352,11618072600,,-1.304475811034922,-0.013130588206423457
2024-01-03,000300,沪深300,3379.75,3378.297,3392.85,3362.662,10561385100,,-0.2378665891791476,-0.0023814994117271546
2024-01-04,000300,沪深300,3375.021,3347.052,3375.021,3323.865,10672101300,,-0.9248742783716124,-0.009291777958288394
2024-01-05,000300,沪深300,3341.306,3329.111,3372.544,3313.554,12640057400,,-0.5360239398730648,-0.005374657026306638
2024-01-08,000300,沪深300,3322.605,3286.056,3333.516,3283.342,11742948500,,-1.2932882081732933,-0.01301723991714982
2024-01-09,000300,沪深300,3286.708,3292.499,3304.601,3273.843,10933046500,,0.19607091297286772,0.0019587894484644594
2024-01-10,000300,沪深300,3281.669,3277.129,3312.916,3268.247,9419936600,,-0.4668186687376341,-0.0046791166996746686
2024-01-11,000300,沪深300,3275.309,3295.672,3311.114,3266.791,10878973500,,0.5658306401731483,0.005642358317214608
2024-01-12,000300,沪深300,3284.358,3284.167,3310.47,3279.699,9685355500,,-0.3490942059768076,-0.003497049616226983
2024-01-15,000300,沪深300,3270.103,3280.92,3306.922,3261.269,8885153000,,-0.09886829750130888,-0.0009891720444085922
2024-01-16,000300,沪深300,3272.571,3300.876,3300.876,3260.436,11327666500,,0.6082440291137914,0.006064016919485083
2024-01-17,000300,沪深300,3291.139,3229.082,3291.139,3229.082,10876972800,,-2.1749983943656237,-0.02199000147828157
2024-01-18,000300,沪深300,3214.284,3274.729,3279.254,3171.633,17490916800,,1.4136215803748575,0.014037231259016307
